AnoMes,Municipio_Ibge,Municipio,Estado_Ibge,Estado,Sigla_Regiao,Regiao,VL_PagadorPF,QT_PagadorPF,VL_PagadorPJ,QT_PagadorPJ,VL_RecebedorPF,QT_RecebedorPF,VL_RecebedorPJ,QT_RecebedorPJ,QT_PES_PagadorPF,QT_PES_PagadorPJ,QT_PES_RecebedorPF,QT_PES_RecebedorPJ
202308,4318606,SÃO JOSÉ DO OURO,43,RIO GRANDE DO SUL,SU,SUL,27736559.95,40660,12211479.31,5387,16384888.16,21484,13710415.19,14015,3159,371,2765,377
202207,4322186,TUPANCI DO SUL,43,RIO GRANDE DO SUL,SU,SUL,1185493.97,2587,559758.55,183,789243.94,1488,590246.37,706,379,27,274,29
202403,3109105,BUENO BRANDÃO,31,MINAS GERAIS,SE,SUDESTE,21948299.64,82480,10024576.28,5895,25310493.81,53888,25441794.64,15270,4600,347,4446,333
202504,4318606,SÃO JOSÉ DO OURO,43,RIO GRANDE DO SUL,SU,SUL,41797048.68,70901,18077627.47,7249,31988621.25,32048,18711967.05,23280,3827,476,3478,458
202401,4107009,CURIÚVA,41,PARANÁ,SU,SUL,28996556.82,154159,20017705.73,11152,30289253.85,87475,20574013.76,31626,6590,440,6473,418
202102,3165909,SENADOR MODESTINO GONÇALVES,31,MINAS GERAIS,SE,SUDESTE,658382.21,1778,185342.98,66,1003405.1,1943,151368.5,75,367,15,456,20
202104,3165909,SENADOR MODESTINO GONÇALVES,31,MINAS GERAIS,SE,SUDESTE,1677136.5,3653,828588.34,204,1594371.3,4224,565055.61,239,609,25,723,26
202109,2903508,BELO CAMPO,29,BAHIA,NE,NORDESTE,6094860.71,29269,648185.26,802,6567791.93,29262,681699.73,1602,3136,105,3267,103
202408,1714203,NATIVIDADE,17,TOCANTINS,NO,NORTE,34846235.68,191195,18774514.17,14312,33684891.85,112705,23537389.28,40798,5436,355,5434,326
202301,1714203,NATIVIDADE,17,TOCANTINS,NO,NORTE,20895473.69,93045,9988641.68,7172,20159535.09,68628,12797488.2,18675,4470,242,4570,238
202110,3137304,LAGOA DOS PATOS,31,MINAS GERAIS,SE,SUDESTE,2476910.4,11091,628359.3,289,2635501.69,11404,449977.86,427,1039,30,1070,30
202309,4107009,CURIÚVA,41,PARANÁ,SU,SUL,25137702.95,129626,18788053.98,9683,25437924.54,76800,19910009.74,20818,6307,425,6145,417
202201,4107009,CURIÚVA,41,PARANÁ,SU,SUL,11289459.9,33855,10139867.65,3771,12275616.48,28501,9086049.41,5776,3778,279,3707,284
