ano_mes,municipio_ibge,municipio,estado_ibge,estado,sigla_regiao,regiao,valor_pagador_pf,qtd_pagador_pf,valor_pagador_pj,qtd_pagador_pj,vl_recebedorpf,qt_recebedorpf,vl_recebedorpj,qt_recebedorpj,qt_pes_pagadorpf,qt_pes_pagadorpj,qt_pes_recebedorpf,qt_pes_recebedorpj
202202,2604304,Cedro,26,PERNAMBUCO,NE,NORDESTE,8671955.89,41908,1037543.56,796,8400211.51,35966,1114567.27,2260,3339,68,3351,72
202309,2604304,Cedro,26,PERNAMBUCO,NE,NORDESTE,21712918.56,143723,3360010.27,2183,20799003.54,104352,4303659.61,7945,5631,106,5487,115
202509,2604304,Cedro,26,PERNAMBUCO,NE,NORDESTE,4524066.98,27084,398174.97,933,4254170.88,17912,725528.66,3400,5028,103,3998,121
202208,5002902,Cassilândia,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,47907459.4,124901,24035863.87,11845,41591859.67,102074,23533438.19,28051,9240,658,9187,671
202106,2102077,Bom Lugar,21,MARANHÃO,NE,NORDESTE,2765226.89,8430,626668.16,184,3196409.32,8861,63044.9,226,1215,30,1201,22
202107,2604304,Cedro,26,PERNAMBUCO,NE,NORDESTE,5601693.5,23008,552276.26,335,5451239.53,23787,421508.75,757,2438,43,2542,52
202211,5002902,Cassilândia,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,45179633.78,141504,21005865.44,12916,42443470.42,110935,22693905.06,32366,9767,682,9780,697
202308,2706802,Piaçabuçu,27,ALAGOAS,NE,NORDESTE,30447425.17,218370,5111454.33,4985,29113213.68,166323,6633372.05,18470,8148,163,8060,156
202206,1701903,Araguacema,17,TOCANTINS,NO,NORTE,8565708.2,33696,2800934.02,1484,8602578.4,28361,1024271.68,2672,2253,73,2283,69
202307,5002902,Cassilândia,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,52193026.61,216761,20160318.59,17818,59991747.57,149144,20516875.37,49978,11106,780,11113,805
202504,2100501,Alto Parnaíba,21,MARANHÃO,NE,NORDESTE,47066217.44,271056,12604936.07,14404,42467425.96,152404,14939550.42,52590,6331,285,6166,277
